ip,app,device,os,channel,is_attributed
180668,19,0,21,213,1
97197,2,1,19,477,1
160650,190,1,13,101,1
154055,120,0,21,213,1
73646,18,1,8,121,1
142444,19,50,0,213,1
36370,13,1,19,400,1
153339,35,1,25,274,1
154299,108,1,16,243,1
147590,35,1,19,274,1
164713,29,1,19,213,1
23700,35,1,19,274,1
146259,29,1,19,101,1
88283,29,1,18,101,1
168925,19,30,0,213,1
57351,19,0,24,213,1
162184,19,0,21,213,1
135362,115,1,25,203,1
211684,35,1,13,274,1
50528,51,89,21,203,1
67975,29,1,25,213,1
146632,79,1,19,213,1
108260,19,0,24,213,1
110090,35,1,17,274,1
198740,72,1,13,101,1
21601,36,1,17,110,1
69411,15,1,13,245,1
169106,29,1,12,213,1
132948,29,1,19,213,1
98207,19,0,24,347,1
80356,18,1,19,121,1
135487,122,1,13,21,1
188159,3,1,17,466,1
114518,29,1,10,213,1
109850,19,0,50,213,1
208350,79,1,13,213,1
206636,19,657,24,213,1
22196,19,0,21,213,1
185013,115,1,13,203,1
201279,29,1,13,213,1
79737,19,0,24,213,1
75540,35,1,17,21,1
111021,8,1,13,145,1
193533,19,240,21,213,1
184011,66,1,19,101,1
137589,84,0,21,101,1
21805,9,1,13,244,1
133334,9,1,19,234,1
90855,45,1,19,411,1
149839,35,1,13,274,1
143578,19,0,0,347,1
63790,20,1,13,259,1
23149,35,1,17,274,1
145409,3,1,13,280,1
154141,148,1,22,213,1
171870,48,1,19,213,1
188943,35,1,8,21,1
49553,19,0,24,213,1
172498,107,1,19,171,1
190771,9,1,17,442,1
142508,127,0,0,213,1
149283,10,1,19,377,1
108568,19,0,24,213,1
196868,19,0,29,347,1
164169,19,0,0,213,1
97744,72,1,22,101,1
167723,35,1,20,274,1
10456,2,1,8,122,1
9993,10,1,13,377,1
179049,35,1,22,274,1
80437,19,0,0,213,1
116055,50,40,24,213,1
211521,19,220,21,282,1
152207,9,1,13,244,1
7756,35,1,13,21,1
31331,35,1,19,21,1
189432,29,1,19,213,1
4052,19,0,24,347,1
211738,35,1,13,274,1
17149,3,1,16,424,1
105216,19,0,29,210,1
132491,10,1,8,203,1
190875,35,1,19,274,1
9773,19,0,0,347,1
88172,35,1,10,21,1
66476,35,1,13,274,1
92766,60,1,19,21,1
147955,16,1,17,268,1
5932,18,1,19,121,1
195724,8,1,22,259,1
181516,8,1,19,145,1
90811,19,7,21,213,1
119758,19,210,24,213,1
113803,35,1,19,21,1
161175,19,0,21,213,1
38633,19,0,21,213,1
192800,9,1,22,134,1
90626,8,1,13,259,1
182554,29,1,19,213,1
114478,15,1,17,245,1
212767,2,1,1,435,1
89489,3,1,13,379,0
3437,6,1,13,459,0
167543,3,1,13,379,0
147509,3,1,13,379,0
71421,15,1,13,153,0
76953,14,1,13,379,0
187909,2,1,25,477,0
116779,1,1,8,150,0
47857,3,1,15,205,0
88637,64,1,19,459,0
96865,20,1,13,259,0
164071,22,1,37,116,0
84177,12,1,13,245,0
24296,12,1,10,178,0
44663,3,1,17,402,0
195833,2,1,19,477,0
71665,110,3032,607,210,0
28223,3,1,17,280,0
114878,2,2,40,205,0
873,2,1,37,477,0
188962,15,1,9,245,0
193591,12,1,13,178,0
173118,27,1,20,153,0
29302,3,1,13,280,0
103249,88,3032,607,347,0
55695,12,1,13,328,0
35282,6,1,13,125,0
53664,14,1,13,489,0
5348,6,1,17,125,0
138302,20,1,13,259,0
110171,15,1,13,245,0
31542,17,1,37,280,0
58288,6,1,14,459,0
2178,2,1,22,212,0
114199,3,1,19,442,0
24876,2,1,19,243,0
146965,64,1,41,459,0
19606,6,1,23,459,0
111702,3,1,13,280,0
24876,64,1,23,459,0
35710,14,1,13,401,0
54520,12,1,48,245,0
123115,14,1,13,439,0
128004,15,1,35,245,0
53664,2,1,13,219,0
60191,21,1,19,128,0
19606,64,1,23,459,0
58254,21,1,14,128,0
93976,9,1,13,134,0
117898,15,1,19,480,0
71357,15,1,19,245,0
152496,27,1,19,122,0
132058,9,1,8,234,0
104650,2,1,19,435,0
82265,11,1,19,319,0
17865,18,1,6,107,0
93021,15,1,41,245,0
124764,3,1,22,137,0
61635,15,1,18,245,0
66210,26,1,13,266,0
95125,14,1,18,349,0
162030,2,1,15,477,0
25071,3,1,26,424,0
199542,1,1,19,134,0
116261,9,1,17,442,0
85857,14,1,19,401,0
32776,21,1,19,128,0
178851,2,1,27,205,0
167105,14,1,19,123,0
33838,6,1,19,125,0
75602,15,1,25,386,0
166358,14,1,12,439,0
30192,1,1,19,134,0
193056,2,1,13,477,0
103236,8,1,40,145,0
192879,13,1,607,400,0
91836,2,1,19,258,0
8469,3,1,13,137,0
89845,12,1,15,124,0
126331,3,1,19,466,0
124146,8,1,13,145,0
105587,15,1,19,245,0
117373,8,1,25,145,0
52726,12,1,37,328,0
79827,15,1,47,140,0
164811,2,1,18,212,0
91536,18,1,13,107,0
120721,1,1,13,134,0
32932,6,1,12,125,0
39374,3,1,13,280,0
119289,14,1,53,480,0
63333,8,1,37,145,0
44536,15,1,19,3,0
23953,8,1,19,145,0
27090,12,2,27,140,0
121845,3,1,9,130,0
119369,15,1,19,315,0
181152,12,1,6,265,0
26865,12,2,2,259,0
103463,15,1,22,3,0
74426,21,1,53,128,0
209477,2,1,19,469,0
177457,2,1,13,477,0
13756,6,1,19,125,0
35125,8,1,13,145,0
91734,8,1,19,145,0
139507,3,1,19,424,0
82150,12,1,18,265,0
84228,15,1,19,140,0
64187,18,1,13,439,0
104945,25,1,10,259,0
70563,9,1,19,215,0
135992,9,1,8,134,0
9734,2,1,19,122,0
100971,3,1,9,280,0
63438,64,1,37,459,0
161696,2,1,10,122,0
41774,15,1,13,245,0
25679,2,2,19,205,0
99754,3,1,13,280,0
21766,18,1,13,134,0
25761,2,2,37,205,0
96984,15,1,13,140,0
26388,3,1,13,280,0
90985,9,1,25,442,0
88914,13,1,13,400,0
201182,2,1,37,219,0
30280,23,1,13,153,0
73487,9,1,13,134,0
187370,3,1,13,280,0
190173,18,1,18,107,0
86767,12,1,19,265,0
92766,13,1,25,477,0
105290,1,1,9,134,0
13887,12,2,19,265,0
24753,25,1,16,259,0
79528,28,1,13,135,0
5314,1,1,19,134,0
105290,13,1,13,477,0
83252,3,1,6,480,0
47652,12,1,17,140,0
36183,2,1,13,205,0
47652,13,1,17,400,0
39834,2,1,13,205,0
99599,21,1,6,128,0
136717,3,1,6,19,0
28156,3,1,15,115,0
37801,9,1,35,134,0
192879,15,1,13,315,0
22804,2,1,14,477,0
178851,12,1,23,259,0
4559,18,1,13,121,0
69320,3,1,22,280,0
114490,9,2,9,258,0
204515,1,2,17,153,0
114235,15,1,17,480,0
55852,14,1,19,480,0
3994,1,1,17,134,0
62129,12,1,22,245,0
81731,8,1,14,145,0
110209,3,1,13,452,0
42525,1,1,22,134,0
37388,2,1,6,212,0
11279,14,1,13,401,0
6395,3,1,19,115,0
74354,18,1,36,439,0
75865,12,1,6,259,0
54722,3,1,13,280,0
79881,15,1,8,245,0
38527,21,1,3,128,0
89232,12,1,13,242,0
144432,9,1,27,442,0
114276,3,1,16,489,0
91694,2,1,19,205,0
147164,15,1,19,379,0
75423,12,1,13,481,0
13264,3,1,19,280,0
136337,9,1,19,134,0
16296,15,1,9,245,0
106493,17,1,10,280,0
17572,3,1,7,417,0
34663,14,1,16,480,0
120195,9,1,27,134,0
106493,12,1,16,245,0
96937,18,1,13,134,0
105587,12,1,13,145,0
41666,2,1,19,236,0
115445,3,1,13,442,0
123940,6,1,25,459,0
62220,9,1,19,442,0
59125,2,1,25,205,0
15252,15,1,15,278,0
49971,9,1,18,134,0
35707,8,1,13,145,0
187507,8,1,9,145,0
113418,3,1,18,211,0
103335,12,1,13,245,0
25705,2,1,19,205,0
7471,3,1,19,280,0
26814,14,1,19,401,0
100212,8,1,19,145,0
114083,1,1,6,134,0
143561,6,1,19,459,0
194289,28,1,37,135,0
93424,6,1,27,125,0
169679,9,1,41,234,0
98554,21,1,14,128,0
16478,3,1,36,205,0
23165,3,1,26,280,0
22300,12,1,6,265,0
28722,18,1,25,107,0
14025,9,1,28,134,0
111639,2,2,20,205,0
1494,11,1,17,487,0
82150,2,1,17,219,0
185923,15,1,20,245,0
29801,64,1,20,459,0
19319,3,1,17,424,0
209663,2,1,27,205,0
28382,1,1,25,134,0
42478,2,1,18,258,0
197654,12,1,11,265,0
48201,12,1,6,178,0
112291,27,1,22,122,0
71389,78,0,67,224,0
43113,15,1,18,245,0
81634,12,1,17,328,0
84810,14,1,22,379,0
100066,9,1,37,134,0
156679,9,2,37,134,0
81714,2,1,8,435,0
86466,3,1,19,424,0
48140,12,1,18,259,0
60191,13,1,34,400,0
191320,8,1,1,145,0
212125,151,0,0,347,0
8571,15,1,8,140,0
176341,26,1,19,266,0
24843,9,1,14,134,0
107704,15,1,19,140,0
120538,12,1,13,124,0
188309,18,1,13,121,0
69096,23,1,19,153,0
73487,14,1,19,379,0
126539,12,1,23,178,0
35007,12,1,3,497,0
109703,3,1,13,489,0
200122,1,1,18,153,0
145154,18,1,19,134,0
123794,8,1,4,145,0
182570,8,1,49,145,0
43754,9,1,13,134,0
200987,26,1,15,121,0
198117,1,1,10,134,0
106437,9,1,19,134,0
68355,8,1,13,259,0
83109,9,1,19,442,0
116065,2,1,19,477,0
1769,18,2,19,121,0
72193,14,1,18,379,0
21918,12,1,13,140,0
111493,8,1,10,145,0
95924,18,3032,607,107,0
5348,15,1,19,245,0
138663,8,1,19,259,0
13412,12,1,20,140,0
72079,11,1,13,487,0
85026,8,1,11,145,0
89411,18,1,13,107,0
14230,2,1,6,237,0
48648,2,1,13,477,0
59125,9,1,13,232,0
86662,8,1,19,145,0
33614,3,1,13,442,0
8210,26,1,27,121,0
101401,9,1,19,134,0
188387,3,1,19,115,0
3964,18,1,23,107,0
133397,6,1,19,125,0
44458,3,1,19,442,0
48969,12,1,13,259,0
158702,9,1,9,258,0
109668,3,1,30,135,0
91375,8,1,22,145,0
187339,14,1,19,480,0
174766,12,1,17,265,0
166403,25,1,13,259,0
93021,15,1,13,265,0
9330,2,1,13,477,0
6713,25,1,13,259,0
44377,9,1,6,134,0
93021,9,1,46,234,0
129929,14,1,9,379,0
42478,18,1,13,439,0
79857,3,1,10,135,0
51274,1,1,19,134,0
45041,15,1,9,140,0
209391,9,1,22,442,0
205087,9,1,19,134,0
96190,9,1,13,215,0
103295,8,1,30,145,0
95447,9,1,17,442,0
60677,1,1,31,134,0
108875,15,1,53,265,0
36117,64,1,23,459,0
73608,150,1,23,110,0
79528,23,1,13,153,0
68987,15,1,13,140,0
24675,15,1,17,140,0
29836,8,1,6,145,0
12825,12,1,14,219,0
3471,3,1,16,424,0
191802,12,1,19,259,0
58994,3,1,13,466,0
51450,12,1,25,140,0
201182,12,1,19,265,0
116362,12,1,23,140,0
66131,18,1,17,107,0
2742,23,1,19,153,0
60677,9,1,31,134,0
29412,3,1,13,115,0
106608,6,1,10,125,0
135079,9,1,39,442,0
59660,1,1,19,349,0
63080,9,1,19,134,0
138302,9,1,13,442,0
25761,2,1,15,237,0
144172,8,1,27,145,0
102065,9,59,12,215,0
125062,9,1,10,134,0
22256,8,1,13,145,0
96139,13,1,9,469,0
34908,1,1,13,178,0
71373,18,1,19,439,0
151908,23,1,13,153,0
18955,12,1,19,140,0
80357,9,1,10,134,0
73516,12,1,18,326,0
11651,9,1,13,134,0
73487,3,1,13,153,0
100275,9,1,20,232,0
107922,9,2,49,215,0
135992,2,1,17,122,0
123375,21,1,6,128,0
113719,3,1,19,409,0
55184,2,1,25,477,0
5314,8,1,8,140,0
90389,12,1,8,140,0
51936,9,1,13,258,0
92735,6,1,13,459,0
146526,15,1,14,140,0
92143,20,1,13,259,0
115568,14,1,32,134,0
104386,9,1,13,442,0
103523,1,1,8,17,0
144685,20,1,1,259,0
73516,64,1,20,459,0
23687,15,1,22,140,0
137938,12,1,13,124,0
184740,1,1,13,134,0
5641,12,1,35,178,0
176081,18,1,31,107,0
109734,12,2,9,178,0
25737,15,1,13,245,0
75415,8,1,13,145,0
172223,9,1,13,134,0
114685,2,1,13,477,0
15927,1,1,19,153,0
52502,14,1,4,463,0
14901,20,1,17,259,0
99754,18,1,13,107,0
172498,15,1,19,278,0
36150,15,1,13,140,0
105113,9,2,22,234,0
195610,3,1,9,480,0
33021,14,1,12,134,0
131230,1,1,10,125,0
210028,12,1,1,265,0
79827,12,1,13,205,0
202062,20,1,41,259,0
81428,18,1,19,121,0
137052,12,1,1,265,0
7313,14,1,19,379,0
39551,15,1,19,245,0
103855,2,1,13,237,0
73487,12,1,19,259,0
25028,8,1,13,145,0
147957,2,1,19,258,0
42968,28,1,14,135,0
91104,25,1,37,259,0
94747,13,1,19,400,0
123994,8,1,13,145,0
124876,15,1,13,245,0
45398,9,1,18,134,0
85489,12,1,26,140,0
15348,13,1,17,400,0
71303,15,1,19,315,0
34840,28,1,19,135,0
65746,2,1,13,477,0
100602,64,1,41,459,0
118229,21,1,19,128,0
73487,3,1,22,153,0
9734,8,1,6,145,0
25071,15,1,26,265,0
32539,9,1,19,215,0
89243,3,1,53,480,0
20385,9,2,19,215,0
37028,2,1,3,219,0
114720,23,1,22,153,0
37167,9,1,8,134,0
91536,2,1,27,205,0
101668,8,1,13,145,0
10239,8,1,20,145,0
208448,12,1,18,145,0
55311,3,1,13,452,0
133825,12,1,18,265,0
95820,3,1,28,135,0
82956,15,2,10,379,0
194132,12,1,13,265,0
23674,18,1,36,121,0
108881,3,1,13,115,0
133591,12,1,13,245,0
5296,6,1,17,459,0
100275,15,1,13,140,0
152811,9,1,13,215,0
20751,12,1,19,140,0
39020,12,1,19,497,0
156880,2,1,25,477,0
3093,9,1,19,258,0
121879,1,1,22,134,0
138302,8,1,13,259,0
55311,15,1,13,245,0
24847,6,1,17,125,0
91119,12,1,19,259,0
90948,14,1,13,401,0
146826,150,1,19,110,0
172498,9,1,19,215,0
41203,9,1,13,215,0
95765,3,1,22,489,0
72248,1,1,22,125,0
40909,18,3032,607,107,0
14205,6,1,46,459,0
106293,6,1,10,459,0
205390,3,1,19,130,0
1519,23,1,13,153,0
65455,12,1,17,265,0
59395,13,1,16,400,0
86767,2,1,14,477,0
51553,12,1,19,140,0
111025,15,1,13,265,0
89592,1,1,53,134,0
70634,15,1,15,140,0
20242,12,1,9,140,0
5314,1,1,19,125,0
134701,18,1,37,121,0
127559,9,2,73,134,0
15759,12,1,22,205,0
119247,8,1,19,145,0
209659,18,1,17,134,0
113857,3,1,15,280,0
30249,25,1,9,259,0
102840,9,1,6,134,0
59125,2,1,22,205,0
209222,8,1,9,145,0
208365,13,1,17,400,0
70896,20,1,13,259,0
105560,8,1,19,145,0
123788,12,1,53,178,0
116591,9,1,41,134,0
63203,15,1,13,315,0
158292,8,1,20,145,0
107892,9,1,13,215,0
39083,6,1,6,459,0
123703,15,1,17,245,0
58192,9,1,9,215,0
23533,3,1,10,115,0
191846,8,1,19,145,0
114163,12,1,13,328,0
41369,12,1,13,245,0
144172,18,1,19,107,0
178054,12,1,13,178,0
204755,15,1,13,265,0
66181,15,1,18,245,0
40965,3,1,13,480,0
164108,12,1,13,205,0
84004,25,1,8,259,0
67658,18,1,19,107,0
69078,3,1,41,280,0
121303,3,1,13,442,0
109425,12,1,17,259,0
73516,9,1,13,234,0
4180,18,3032,607,107,0
164179,24,1,19,178,0
188159,3,1,17,205,0
54841,28,1,9,135,0
54632,9,1,10,442,0
42251,15,1,3,245,0
4553,15,1,19,3,0
47350,9,1,13,442,0
56612,20,1,19,259,0
18940,12,1,19,178,0
113723,18,1,22,121,0
148508,3,1,11,205,0
151082,9,1,20,442,0
40965,2,1,13,435,0
186681,23,1,13,153,0
26727,12,1,30,19,0
100276,12,1,26,245,0
102025,12,2,19,259,0
90891,12,1,25,326,0
49888,18,1,47,107,0
153990,15,1,10,140,0
2810,8,1,32,145,0
75403,8,1,13,145,0
1041,9,1,19,215,0
105475,9,2,14,215,0
68516,15,1,19,265,0
73516,8,1,13,145,0
200225,24,1,6,178,0
143418,9,1,13,134,0
132967,18,1,19,107,0
1049,85,3032,607,347,0
50251,12,1,23,265,0
103223,12,1,16,140,0
6689,11,1,19,319,0
44067,15,1,15,315,0
176515,9,1,20,442,0
88529,18,1,35,107,0
28709,9,1,13,215,0
64592,18,1,17,121,0
44527,1,1,23,134,0
123572,9,2,22,442,0
81976,9,1,15,234,0
34216,9,1,13,134,0
83366,8,1,19,145,0
67776,15,1,25,245,0
9794,2,1,25,205,0
53883,15,1,19,245,0
62879,18,1,13,121,0
27518,1,1,13,153,0
25761,9,1,19,215,0
177790,1,1,19,153,0
5729,15,2,13,245,0
32381,15,1,13,111,0
120195,1,1,19,134,0
105475,15,1,40,111,0
12762,8,1,37,140,0
3131,12,1,19,245,0
73516,13,1,13,477,0
64636,9,1,13,134,0
92682,2,1,12,364,0
102243,12,1,17,245,0
132967,9,1,19,134,0
66898,18,1,10,107,0
207748,12,1,13,145,0
175631,3,1,17,379,0
125033,3,1,19,137,0
133077,17,1,22,280,0
100309,303,3032,607,347,0
108942,1,1,13,349,0
65486,3,1,19,280,0
9624,8,1,9,145,0
73487,3,1,13,153,0
194050,8,1,8,145,0
19000,18,1,22,121,0
56612,20,1,6,259,0
58485,18,1,16,134,0
66198,2,2,13,122,0
183599,9,1,19,134,0
92645,21,1,22,128,0
8301,20,1,19,259,0
56465,12,1,18,328,0
86405,2,1,18,401,0
176464,8,1,13,145,0
48147,8,1,25,145,0
5648,2,1,17,469,0
83614,12,1,34,140,0
26810,15,1,19,245,0
75617,2,1,19,452,0
148751,2,1,13,477,0
163553,12,1,28,265,0
108073,9,1,13,134,0
94182,18,1,13,121,0
37703,15,1,6,245,0
1036,8,1,8,145,0
7346,9,1,18,215,0
122145,18,1,19,121,0
4989,12,1,17,245,0
59470,9,1,22,134,0
59929,18,1,17,107,0
92143,8,1,13,259,0
197227,12,1,8,245,0
211839,11,1,13,319,0
105587,8,1,8,145,0
176678,12,1,13,178,0
35182,8,1,41,145,0
48691,10,1,16,377,0
211910,3,1,23,480,0
204844,12,1,17,140,0
96902,21,1,19,128,0
38066,8,1,18,145,0
96135,26,1,13,121,0
141379,1,1,19,178,0
15927,12,1,13,140,0
51918,8,1,35,145,0
210161,3,1,13,211,0
178851,8,1,17,145,0
111159,15,1,10,480,0
30249,3,1,47,130,0
174860,9,1,19,258,0
114904,2,1,19,477,0
25761,12,1,13,178,0
102784,1,1,13,134,0
106862,14,1,19,379,0
20165,12,1,17,178,0
181671,1,1,25,134,0
103303,15,1,53,245,0
13459,8,1,13,145,0
179037,12,1,6,259,0
77610,8,1,13,145,0
30249,15,1,47,245,0
46669,15,1,17,140,0
6783,8,1,32,145,0
103065,8,1,20,259,0
46729,1,1,19,137,0
105620,9,1,37,134,0
26564,12,1,30,497,0
154232,8,1,13,145,0
88127,14,1,18,401,0
141509,9,1,18,215,0
150471,3,1,9,135,0
75338,21,1,19,128,0
99024,12,1,17,140,0
48204,12,1,13,245,0
200486,12,1,19,140,0
23111,9,1,8,134,0
136854,3,1,19,379,0
127245,24,1,19,178,0
2180,21,1,13,128,0
81629,8,1,19,145,0
35216,12,1,18,124,0
84774,9,1,19,215,0
119349,8,1,32,145,0
59969,3,1,7,442,0
169684,9,1,8,134,0
5761,18,1,13,107,0
73487,12,1,17,245,0
141961,12,1,17,145,0
24865,2,1,18,243,0
89113,14,1,13,379,0
108942,14,1,16,463,0
111129,18,3032,607,107,0
74881,15,1,19,140,0
73487,12,1,14,409,0
151778,2,1,13,477,0
67439,3,1,17,153,0
136166,6,2,18,125,0
102082,9,1,19,134,0
92789,1,1,35,153,0
52076,2,1,19,212,0
93641,8,1,17,145,0
27607,25,1,15,259,0
75355,23,1,19,153,0
30296,12,1,19,140,0
46657,9,1,13,215,0
152102,18,1,10,107,0
135720,9,1,6,134,0
64113,12,1,15,178,0
41972,2,1,20,219,0
60752,12,1,9,122,0
